id,type,question,a,b,c,d,answer,chose
0,normal,The road surface is most slippery:,During a heavy rain or storm,Just after the rain,Just when it starts raining,During a light rain,Just when it starts raining,
1,image,402,T-intersection,Added lane from the right,Two way traffic,Divided highway,Divided highway,
2,normal,"When approaching a railroad crossing with no warning device, the speed limit is:",15 mph,20 mph,25 mph,30 mph,15 mph,
3,image,424,Pedestrians crossing,"Work zone, prepare to stop ",Do Not Enter,One-way road,Pedestrians crossing,
4,normal,When you enter traffic from a stop (ex: pulling away from the curb) you:,Should drive slower than other traffic for 200 feet,Need a large enough gap to get up to the speed of traffic,Should wait for the first vehicle to pass then pull into the lane,Should expect other drivers to make room for you to enter traffic,Need a large enough gap to get up to the speed of traffic,
5,normal,You want to make a right turn at the corner. A pedestrian with a guide dog is at the corner ready to cross the street in front of you. Before making your right turn you should:,Turn off your engine until the person crosses the street,Tell the pedestrian when to cross the street,Wait until the person crosses the street,Honk the horn to warn the pedestrian of your presence,Wait until the person crosses the street,
6,normal,At night if an oncoming vehicle fails to dim its high-beams look:,Toward the center of the roadway,Toward the right edge of your lane,Toward the left edge of your lane,Straight ahead in your lane,Toward the right edge of your lane,
7,image,419,Added lane from the right,Two way traffic,Directional arrow,T-intersection,Added lane from the right,
8,normal,Which of these statements is true about driving and taking drugs?,Only illegal drugs can impair your driving,Even over-the-counter drugs can impair your driving,Any prescription drug is safe to use if you don't feel drowsy,All of the above,Even over-the-counter drugs can impair your driving,
9,image,107,Crossroad,Yield Sign,Turn right at limit 25mph,Slipper when wet,Yield Sign,
10,normal,"When parking downhill and the curb is absent, your front wheels must be turned:",Towards the road ,Parallel to the road,Towards the side of the road ,In the direction of traffic,Towards the side of the road ,
11,normal,You just sold your vehicle. You must notify ______ within 5 days.,CHP,SJSU,Your insuarance provider,DMV,DMV,
12,image,420,No Left Turn,Turn right at limit 25mph,Keep in the right lane,Two way traffic,Two way traffic,
13,normal,Dim your high-beam headlights to low-beams within ______ feet when a vehicle is coming towards you.,200,300,400,500,500,
14,normal,"If you need to slow down or stop when other drivers may not expect it, you should: ",Use your emergency brake,Look over your shoulder for traffic in your blind spot,Quickly tap your brake pedal a few times,Get ready to blow your horn,Quickly tap your brake pedal a few times,
15,normal,California’s “basic speed law” says:,You should never drive faster than posted speed limits,You should never drive faster than is safe for current conditions,The maximum speed limit in California is 70 mph on certain freeways,You should drive with at least the speed of 5 mph under any conditions,You should never drive faster than is safe for current conditions,
16,normal,Parallel parking is when the:,Front wheels are turned toward the street,Vehicle is in line with other parked vehicles,Rear wheels are touching the curb,Front wheels are turned against the street,Vehicle is in line with other parked vehicles,
17,image,401,"Slow down, dip area",Two way traffic,"Land ends, merge left",No Parking,"Land ends, merge left",
18,normal,If your tires are not inflated to the pressure recommended by the manufacturer it may cause,Low gas mileage,Uneven tire wear,Improper steering,All of the above,All of the above,
19,normal,U-turns in residential districts are legal:,When there are no vehicles approaching nearby,Across two sets of solid double yellow lines,On a one-way street at a green,At or on a railroad crossing,When there are no vehicles approaching nearby,
20,image,106,Stop Sign,Merging traffic from the right,Stay in current lane,Do Not Enter,Stop Sign,
21,normal,If a pedestrian is in a crosswalk in the middle of a block:,The pedestrian has the right-of-way,The pedestrian must yield the right-of-way,"Vehicles have the right-of-way, but drivers must legally take care for the pedestrian safety","Drivers must honk the horn approaching the crosswalk, to urge the pedestrian to cross faster",The pedestrian has the right-of-way,
22,normal,Orange construction signs warn you:,Of workers and road equipment ahead,That there are driver services ahead,Of an accident ahead,That you will have to come to a complete stop shortly,Of workers and road equipment ahead,
23,normal,Dim your lights for oncoming vehicles or when you are within 300 feet of a vehicle:,You are approaching from behind,Approaching you from behind,You have already passed,Parked on the shoulder of the road,You are approaching from behind,
24,normal,"On the intersection, if you see a green arrow pointing to the left, you can:",Go in any direction ,Make a protected turn left ,Make a turn left or go straight ,Turn left only if there are no vehicles coming in the opposite direction ,Make a protected turn left ,
25,normal,Smoking inside a vehicle when a person younger than 18 years of age is present is:,Legal if it is your child,Illegal at all times,Not restricted by law,Your choice,Illegal at all times,
26,normal,When passing in the oncoming traffic lane of a two lane road you should consider,Your speed relative to others and your ability to accelerate,How much clear space you need to pass and how much you have,The speed and distance of oncoming traffic and possible hazards,All of the above,All of the above,
27,normal,"When a traffic signal light is not working, you should:",Stop only if other vehicles are present ,Slow down and stop if necessary ,Stop and then continue driving when it is safe ,Proceed through the intersection as usual,Stop and then continue driving when it is safe ,
28,normal,When you approach a sharp curve in the road, YOU SHOULD Start braking as soon as you enter the curve,Start braking before you enter the curve,Accelerate into the curve and brake out of it,Accelerate through the whole curve to increase traction,Start braking before you enter the curve,
29,normal,When you enter a freeway you should check traffic by using,The inside and outside mirrors only,Only your rearview mirrors,All mirrors and turning your head,Only your left side-view mirror,All mirrors and turning your head,
30,image,423,No Left Turn,Directional arrow,Rail-road crossing,Turn left if you are in the left lane,Rail-road crossing,
31,normal,The car behind you begins to pass you. You should,Maintain your speed so traffic will flow smoothly,Pull to the right and stop so he can pass,Slow down slightly and stay in your lane,Blow your horn to allow him to pass,Slow down slightly and stay in your lane,
32,normal,What are the colors of a sign which tells you the distance to the next exit of a highway?,Yellow with black letters. ,Black with white letters. ,Red with white letters. ,Green with white letters. ,Green with white letters. ,
33,normal,You may drive across a sidewalk to:,Avoid driving over a speed bump,Enter or exit a driveway or alley,Make a U-turn ,Pass a traffic jam ,Enter or exit a driveway or alley,
34,image,301,Wrong Way,Traffic signal ahead,Winding road,"Work zone, prepare to stop ","Work zone, prepare to stop ",
35,normal,You must use your seat belt:,Unless you are riding in a vehicle built before 1978,Unless you are riding in a limousine,And failure to do so may result in a traffic ticket,Only when driving on a highway,And failure to do so may result in a traffic ticket,
36,normal,Look carefully for motorcycles before you change lanes because:,It is illegal for motorcycles to share traffic lanes,Their smaller size makes them harder to see,They always have the right-of-way at intersections,They always have the right-of-way on the highway,Their smaller size makes them harder to see,
37,normal,"If you see orange construction signs and cones on a freeway, you must:",Change lanes and maintain your current speed,Be prepared for workers and equipment ahead ,Slow down because the lane ends ahead ,Speed up to avoid rubbernecking ,Be prepared for workers and equipment ahead ,
